.9236,0.0037
0.1909,-1.0166,-0.0676
0.1704,-0.9966,-0.0676
0.1450,-0.9783,-0.0615
0.1216,-0.9644,-0.0544
0.1018,-0.9583,-0.0491
0.0879,-0.9551,-0.0459
0.0845,-0.9534,-0.0403
0.0876,-0.9573,-0.0391
0.0898,-0.9663,-0.0393
0.0891,-0.9714,-0.0376
0.0879,-0.9680,-0.0354
0.0894,-0.9626,-0.0291
0.0911,-0.9612,-0.0298
0.0940,-0.9597,-0.0396
0.0981,-0.9585,-0.0479
0.0955,-0.9629,-0.0542
0.0918,-0.9707,-0.0615
0.0889,-0.9829,-0.0671
0.0833,-0.9949,-0.0710
0.0823,-1.0059,-0.0759
0.0801,-1.0161,-0.0779
0.0754,-1.0247,-0.0725
0.0779,-1.0220,-0.0591
0.0830,-1.0112,-0.0432
0.0886,-1.0000,-0.0305
0.0989,-0.9846,-0.0193
0.1069,-0.9707,-0.0120
0.1182,-0.9585,-0.0071
0.1448,-0.9507,0.0029
0.1816,-0.9578,0.0149
0.2109,-0.9785,0.0269
0.2285,-0.9985,0.0398
0.2441,-1.0078,0.0535
0.2573,-1.0076,0.0654
0.2576,-0.9978,0.0796
0.2437,-0.9783,0.0886
0.2188,-0.9575,0.0803
0.1924,-0.9370,0.0696
0.1685,-0.9290,0.0588
0.1455,-0.9507,0.0427
0.1304,-0.9883,0.0347
0.1235,-1.0261,0.0332
0.1189,-1.0552,0.0278
0.1162,-1.0605,0.0295
0.1160,-1.0427,0.0359
0.1145,-1.0195,0.0337
0.1189,-0.9939,0.0291
0.1284,-0.9702,0.0269
0.1392,-0.9646,0.0242
0.1536,-0.9697,0.0232
0.1697,-0.9841,0.0273
0.1826,-1.0134,0.0359
0.1907,-1.0422,0.0554
0.1987,-1.0625,0.0786
0.2075,-1.0669,0.0938
0.2114,-1.0525,0.1052
0.2085,-1.0249,0.1135
0.1980,-0.9919,0.1099
0.1836,-0.9622,0.0886
0.1858,-0.9739,0.0786
0.1873,-0.9875,0.0769
0.1809,-1.0029,0.0796
0.1655,-1.0117,0.0823
0.1465,-1.0073,0.0852
0.1265,-0.9971,0.0854
0.1084,-0.9880,0.0842
0.0955,-0.9783,0.0820
0.0837,-0.9705,0.0786
0.0750,-0.9690,0.0747
0.0713,-0.9712,0.0742
0.0664,-0.9751,0.0786
0.0620,-0.9773,0.0840
0.0647,-0.9832,0.0906
0.0698,-0.9949,0.0955
0.0732,-1.0085,0.1021
0.0754,-1.0227,0.1101
0.0762,-1.0320,0.1172
0.0764,-1.0344,0.1216
0.0742,-1.0271,0.1208
0.0740,-1.0139,0.1199
0.0803,-1.0015,0.1177
0.0916,-0.9888,0.1162
0.1008,-0.9761,0.1094
0.1094,-0.9641,0.1021
0.1255,-0.9541,0.0989
0.1479,-0.9490,0.0950
0.1682,-0.9524,0.0977
0.1855,-0.9619,0.1008
0.2014,-0.9741,0.1008
0.2156,-0.9844,0.1062
0.2261,-0.9880,0.1155
0.2329,-0.9832,0.1204
0.2373,-0.9717,0.1267
0.2380,-0.9612,0.1311
0.2363,-0.9536,0.1301
0.2263,-0.9480,0.1335
0.2144,-0.9497,0.1372
0.2053,-0.9578,0.1382
0.1931,-0.9668,0.1418
0.1797,-0.9734,0.1460
0.1680,-0.9763,0.1482
0.1624,-0.9768,0.1455
0.1611,-0.9792,0.1443
0.1567,-0.9844,0.1501
0.1479,-0.9866,0.1545
0.1389,-0.9824,0.1550
0.1287,-0.9766,0.1553
0.1174,-0.9753,0.1572
0.1179,-0.9797,0.1575
0.1267,-0.9883,0.1611
0.1387,-0.9946,0.1626
0.1580,-1.0022,0.1665
0.1792,-1.0093,0.1775
0.2014,-1.0049,0.1790
0.2222,-0.9895,0.1753
0.2422,-0.9724,0.1775
0.2639,-0.9636,0.1792
0.2832,-0.9651,0.1785
0.2971,-0.9731,0.1716
0.2913,-0.9863,0.1724
0.2744,-0.9976,0.1821
0.2568,-1.0034,0.1895
0.2300,-1.0012,0.1958
0.2014,-0.9873,0.1970
0.1746,-0.9739,0.1951
0.1482,-0.9612,0.1880
0.1326,-0.9500,0.1792
0.1194,-0.9473,0.1755
0.1052,-0.9509,0.1670
0.0957,-0.9583,0.1577
0.0903,-0.9636,0.1528
0.0876,-0.9697,0.1538
0.0862,-0.9758,0.1628
0.0891,-0.9753,0.1675
0.0950,-0.9700,0.1641
0.1047,-0.9600,0.1621
0.1196,-0.9468,0.1602
0.1343,-0.9377,0.1602
0.1528,-0.9385,0.1597
0.1755,-0.9463,0.1553
0.2019,-0.9556,0.1516
0.2258,-0.9639,0.1514
0.2383,-0.9714,0.1514
0.2400,-0.9778,0.1499
0.2380,-0.9790,0.1526
0.2339,-0.9756,0.1555
0.2222,-0.9753,0.1545
0.2097,-0.9749,0.1504
0.2002,-0.9727,0.1484
0.1880,-0.9714,0.1523
0.1807,-0.9741,0.1509
0.1814,-0.9822,0.1472
0.1785,-0.9875,0.1479
0.1758,-0.9858,0.1472
0.1777,-0.9800,0.1492
0.1792,-0.9802,0.1531
0.1870,-0.9814,0.1582
0.1914,-0.9758,0.1580
0.1941,-0.9700,0.1548
0.1936,-0.9666,0.1523
0.1929,-0.9678,0.1555
0.1963,-0.9678,0.1541
0.1980,-0.9675,0.1499
0.1958,-0.9653,0.1497
0.1941,-0.9622,0.1465
0.1909,-0.9622,0.1455
0.1877,-0.9631,0.1465
0.1882,-0.9641,0.1458
0.1929,-0.9631,0.1438
0.1938,-0.9622,0.1421
0.1917,-0.9695,0.1428
0.1936,-0.9741,0.1453
0.1987,-0.9714,0.1472
0.2048,-0.9680,0.1426
0.2065,-0.9695,0.1372
0.2083,-0.9734,0.1387
0.2124,-0.9727,0.1387
0.2197,-0.9736,0.1345
0.2251,-0.9795,0.1318
0.2219,-0.9810,0.1270
0.2153,-0.9744,0.1223
0.2156,-0.9734,0.1204
0.2207,-0.9844,0.1201
0.2239,-0.9937,0.1277
0.2268,-0.9954,0.1392
0.2319,-0.9885,0.1501
0.2363,-0.9741,0.1604
0.2329,-0.9583,0.1685
0.2227,-0.9412,0.1777
0.2063,-0.9231,0.1877
0.1924,-0.9050,0.1965
0.1846,-0.8909,0.2061
0.1780,-0.8853,0.2129
0.1714,-0.8862,0.2175
0.1680,-0.8918,0.2239
0.1726,-0.8958,0.2266
0.1841,-0.8943,0.2183
0.1956,-0.8955,0.2085
0.2097,-0.9048,0.1990
0.2300,-0.9221,0.1895
0.2480,-0.9412,0.1860
0.2644,-0.9580,0.1846
0.2744,-0.9705,0.1853
0.2766,-0.9722,0.1860
0.2710,-0.9622,0.1812
0.2695,-0.9541,0.1741
0.2634,-0.9529,0.1707
0.2527,-0.9597,0.1672
0.2434,-0.9692,0.1641
0.2400,-0.9780,0.1560
0.2371,-0.9897,0.1521
0.2310,-0.9978,0.1548
0.2285,-0.9973,0.1494
0.2261,-0.9980,0.1499
0.2222,-0.9998,0.1543
0.2190,-0.9915,0.1567
0.2153,-0.9802,0.1553
0.2170,-0.9680,0.1462
0.2175,-0.9575,0.1377
0.2175,-0.9541,0.1287
0.2219,-0.9543,0.1230
0.2295,-0.9619,0.1240
0.2395,-0.9709,0.1262
0.2461,-0.9749,0.1245
0.2505,-0.9695,0.1172
0.2505,-0.9573,0.1162
0.2466,-0.9451,0.1179
0.2437,-0.9392,0.1086
0.2434,-0.9426,0.0952
0.2444,-0.9504,0.0894
0.2490,-0.9634,0.0857
0.2554,-0.9746,0.0801
0.2568,-0.9753,0.0806
0.2556,-0.9741,0.0803
0.2542,-0.9763,0.0752
0.2554,-0.9753,0.0686
0.2542,-0.9734,0.0601
0.2559,-0.9729,0.0496
0.2637,-0.9727,0.0432
0.2661,-0.9739,0.0417
0.2664,-0.9744,0.0469
0.2720,-0.9756,0.0564
0.2791,-0.9819,0.0659
0.2837,-0.9805,0.0762
0.2839,-0.9607,0.0874
0.2771,-0.9324,0.0986
0.2666,-0.9060,0.0996
0.2615,-0.8860,0.0911
0.2615,-0.8884,0.0806
0.2593,-0.9119,0.0757
0.2561,-0.9363,0.0728
0.2507,-0.9558,0.0674
0.2373,-0.9502,0.0679
0.2236,-0.9436,0.0715
0.2131,-0.9382,0.0710
0.2021,-0.9329,0.0647
0.1904,-0.9229,0.0559
0.1777,-0.9097,0.0510
0.1619,-0.9004,0.0449
0.1443,-0.8862,0.0391
0.1333,-0.8699,0.0381
0.1328,-0.8633,0.0320
0.1350,-0.8726,0.0261
0.1423,-0.8958,0.0273
0.1602,-0.9241,0.0293
0.1799,-0.9524,0.0344
0.1948,-0.9744,0.0417
0.2092,-0.9841,0.0518
0.2273,-0.9880,0.0608
0.2498,-0.9949,0.0601
0.2712,-1.0022,0.0535
0.2856,-1.0117,0.0466
0.2942,-1.0203,0.0420
0.3022,-1.0134,0.0366
0.3013,-1.0034,0.0339
0.2949,-0.9983,0.0339
0.2930,-0.9951,0.0325
0.2900,-0.9983,0.0308
0.2854,-1.0037,0.0305
0.2793,-1.0051,0.0322
0.2722,-1.0007,0.0337
0.2612,-0.9910,0.0371
0.2488,-0.9766,0.0383
0.2397,-0.9600,0.0342
0.2332,-0.9480,0.0266
0.2241,-0.9456,0.0181
0.2131,-0.9434,0.0122
0.2048,-0.9353,0.0054
0.2002,-0.9277,0.0015
0.1970,-0.9292,-0.0032
0.1960,-0.9380,-0.0098
0.1965,-0.9456,-0.0188
0.1987,-0.9495,-0.0251
0.2058,-0.9519,-0.0288
0.2168,-0.9529,-0.0359
0.2271,-0.9536,-0.0413
0.2334,-0.9563,-0.0454
0.2395,-0.9595,-0.0471
0.2485,-0.9661,-0.0513
0.2559,-0.9714,-0.0593
0.2585,-0.9663,-0.0701
0.2600,-0.9646,-0.0740
0.2568,-0.9666,-0.0769
0.2559,-0.9697,-0.0801
0.2605,-0.9722,-0.0823
0.2676,-0.9788,-0.0823
0.2732,-0.9836,-0.0840
0.2744,-0.9819,-0.0840
0.2725,-0.9832,-0.0813
0.2725,-0.9829,-0.0781
0.2759,-0.9688,-0.0720
0.2783,-0.9453,-0.0732
0.2744,-0.9275,-0.0747
0.2622,-0.9038,-0.0754
0.2527,-0.8728,-0.0825
0.2483,-0.8560,-0.0867
0.2476,-0.8550,-0.0920
0.2507,-0.8613,-0.0942
0.2532,-0.8774,-0.0920
0.2578,-0.9031,-0.0884
0.2607,-0.9275,-0.0791
0.2571,-0.9402,-0.0681
0.2480,-0.9409,-0.0618
0.2341,-0.9395,-0.0601
0.2195,-0.9346,-0.0564
0.2080,-0.9365,-0.0562
0.2036,-0.9482,-0.0593
0.2019,-0.9617,-0.0544
0.2002,-0.9775,-0.0452
0.1997,-0.9956,-0.0383
0.2000,-1.0090,-0.0327
0.2041,-1.0137,-0.0264
0.2058,-1.0132,-0.0237
0.2085,-1.0061,-0.0227
0.2126,-0.9980,-0.0244
0.2168,-0.9968,-0.0339
0.2253,-0.9951,-0.0439
0.2314,-0.9893,-0.0449
0.2378,-0.9849,-0.0410
0.2488,-0.9814,-0.0374
0.2583,-0.9783,-0.0337
0.2639,-0.9751,-0.0325
0.2698,-0.9673,-0.0344
0.2769,-0.9585,-0.0393
0.2786,-0.9524,-0.0425
0.2754,-0.9470,-0.0439
0.2705,-0.9456,-0.0452
0.2651,-0.9463,-0.0500
0.2637,-0.9458,-0.0479
0.2593,-0.9468,-0.0505
0.2502,-0.9468,-0.0530
0.2476,-0.9409,-0.0515
0.2480,-0.9373,-0.0503
0.2441,-0.9395,-0.0503
0.2373,-0.9451,-0.0459
0.2332,-0.9504,-0.0457
0.2307,-0.9551,-0.0476
0.2229,-0.9607,-0.0435
0.2163,-0.9639,-0.0391
0.2117,-0.9675,-0.0366
0.2075,-0.9690,-0.0339
